,cost,description,animal,property
3359,295.0,dog trapped under debris,dog,purpose built flats/maisonettes - up to 3 storeys 
3360,295.0,cat trapped in car mechanism,cat,car 
3361,295.0,cat and woman stuck on roof,cat,house - single occupancy 
3362,295.0,kitten trapped in car bonnett,cat,car 
3363,295.0,assist police with small animal rescue,unknown - domestic animal or pet,van 
3364,295.0,fox cub with head trapped under metal fence,fox,playground/recreation area (not equipment)
3365,295.0,bird trapped in pole,bird,purpose built flats/maisonettes - 4 to 9 storeys 
3366,295.0,cat trapped between washing machine and wall,cat,house - single occupancy 
3367,295.0,bird trapped in netting,bird,purpose built flats/maisonettes - 4 to 9 storeys 
3368,295.0,seagull trapped in wire in tree,bird,tree scrub 
3369,590.0,cat trapped behind partition wall,cat,single shop 
3370,295.0,assist rspca with small animal rescue,bird,tree scrub 
3371,295.0,cat trapped in fencing,cat,fence
3372,295.0,assist rspca with bird trapped in tree,bird,tree scrub 
3373,295.0,pigeon trapped in telephone wire os,bird,"roadside furniture (eg lamp posts, road signs, telegraph poles, speed cameras)"
3374,295.0,dog in precarious position on ledge,dog,converted flat/maisonettes - 3 or more storeys
3375,295.0,dog stuck in hole,dog,house - single occupancy 
3376,295.0,cat trapped behind walls,cat,house - single occupancy 
3377,295.0,birds stuck in netting,bird,bridge
3378,295.0,cat trapped in iron bar,cat,purpose built flats/maisonettes - up to 3 storeys 
3379,295.0,dog in precarious position,dog,purpose built flats/maisonettes - up to 3 storeys 
3380,590.0,"cat stuck on roof, level one line ops implemented",cat,converted flat/maisonettes - 3 or more storeys
3381,295.0,cat trapped on pigeon spikes,cat,converted flat/maisonettes - 3 or more storeys
3382,295.0,cat trapped behind cupboard,cat,purpose built flats/maisonettes - 10 or more storeys 
3383,295.0,assist rspca with rescue of pigeon with injury,bird,house - single occupancy 
3384,295.0,cat up tree,cat,tree scrub 
3385,295.0,redacted,cat,house - single occupancy 
3386,295.0,assist rspca to release trapped fox,fox,railings
3387,295.0,pigeon trapped in netting,bird,purpose built flats/maisonettes - up to 3 storeys 
3388,295.0,cat stuck in grate,cat,church/chapel 
3389,295.0,dog stuck on balcony - unable to reach him from window,dog,purpose built flats/maisonettes - up to 3 storeys 
3390,295.0,redacted,dog,purpose built flats/maisonettes - up to 3 storeys 
3391,295.0,redacted,cat,animal harm outdoors
3392,295.0,cat trapped behind panelling in kitchen,cat,purpose built flats/maisonettes - 10 or more storeys 
3393,295.0,dog trapped behind fencing,dog,park 
3394,295.0,cat trapped inside derelict building,cat,purpose built flats/maisonettes - up to 3 storeys 
3395,295.0,kitten trapped behind kitchen cupboard,cat,purpose built flats/maisonettes - 4 to 9 storeys 
3396,885.0,cow  in water,cow,river/canal 
3397,295.0,seagull trapped in netting,bird,purpose built office 
3398,885.0,cat trapped between walls,cat,private garage 
3399,295.0,cat trapped in barbed wire on a garage,cat,animal harm outdoors
3400,295.0,kitten trapped on ledge,cat,house - single occupancy 
3401,295.0,kitten stuck on chimney pot,cat,house - single occupancy 
3402,295.0,cat trapped on ledge,cat,converted flat/maisonette - up to 2 storeys 
3403,295.0,kitten trapped under car bonnet,cat,car 
3404,295.0,dog trapped between two sheds,dog,private garden shed 
3405,295.0,cat trapped behind cupboard,cat,purpose built flats/maisonettes - 4 to 9 storeys 
3406,295.0,small animal rescue,unknown - domestic animal or pet,purpose built flats/maisonettes - up to 3 storeys 
3407,295.0,puppy stuck between shed and brick wall,dog,house - single occupancy 
3408,295.0,funeral horse collapsed in roadway,horse,animal harm outdoors
3409,590.0,cat trapped in tree,cat,domestic garden (vegetation not equipment) 
3410,590.0,assist rspca with cat on roof,cat,purpose built flats/maisonettes - 4 to 9 storeys 
3411,295.0,cat trapped in sofa by leg,cat,house - single occupancy 
3412,295.0,cat trapped under van,cat,van 
3413,295.0,assist rspca with pigeon trapped in netting,bird,purpose built flats/maisonettes - up to 3 storeys 
3414,295.0,assist rspca,unknown - domestic animal or pet,purpose built flats/maisonettes - up to 3 storeys 
3415,295.0,to assist rspca with seagull wedged in guttering,bird,house - single occupancy 
3416,295.0,cat trapped in netting on balcony,cat,purpose built flats/maisonettes - up to 3 storeys 
3417,295.0,pigeon trapped in guttering,bird,purpose built flats/maisonettes - up to 3 storeys 
3418,590.0,assist rspca with cat in tree,cat,tree scrub 
3419,590.0,redacted,bird,purpose built flats/maisonettes - 4 to 9 storeys 
3420,295.0,cat stuck in barbed wire fence,cat,fence
3421,295.0,assist rspca with pigeon trapped at top of telegraph pole,bird,"roadside furniture (eg lamp posts, road signs, telegraph poles, speed cameras)"
3422,295.0,cat trapped behind kitchen cupboards,cat,converted flat/maisonettes - 3 or more storeys
3423,295.0,assist rspca with deer trapped in fence,deer,infant/primary school
3424,295.0,dog with foot trapped in electric fan,dog,purpose built flats/maisonettes - 4 to 9 storeys 
3425,295.0,small animal rescue,unknown - domestic animal or pet,underground car park
3426,295.0,cat trapped between shed and fence,cat,other outdoor structures 
3427,295.0,running call to pigeon trapped,bird,bridge
3428,295.0,small animal rescue,unknown - domestic animal or pet,car 
3429,295.0,kitten stuck in radiator,cat,purpose built flats/maisonettes - 10 or more storeys 
3430,590.0,fox with head stuck between posts,fox,pub/wine bar/bar 
3431,295.0,assist rspca with trapped kitten,cat,domestic garden (vegetation not equipment) 
3432,295.0,dog locked in car,dog,car 
3433,590.0,assist rspca with cat up tree,cat,house - single occupancy 
3434,295.0,dog fallen down well,dog,other outdoor location 
3435,295.0,dog with leg trapped in car door,dog,car 
3436,295.0,running call to cat stuck on roof,cat,house - single occupancy 
3437,295.0,small animal rescue - cat with leg trapped in electric gate,cat,purpose built flats/maisonettes - up to 3 storeys 
3438,590.0,assist rspca with bird with leg trapped in floodlight,bird,"roadside furniture (eg lamp posts, road signs, telegraph poles, speed cameras)"
3439,295.0,cat stuck between wall and lamp post,cat,"roadside furniture (eg lamp posts, road signs, telegraph poles, speed cameras)"
3440,295.0,small animal rescue,unknown - domestic animal or pet,domestic garden (vegetation not equipment) 
3441,885.0,fox  trapped between kiosk & wall,fox,road surface/pavement 
3442,295.0,cat stuck behind washing machine,cat,house - single occupancy 
3443,295.0,bird trapped in fireplace,bird,house - single occupancy 
3444,295.0,cat stuck behind wall,cat,purpose built flats/maisonettes - 4 to 9 storeys 
3445,295.0,cat trapped in chimney,cat,house - single occupancy 
3446,885.0,cat trapped in car,cat,car 
3447,295.0,to assist rspca on scene with cat up tree,cat,tree scrub 
3448,295.0,cat trapped in chimney,cat,house - single occupancy 
3449,295.0,cat trapped between walls,cat,purpose built flats/maisonettes - up to 3 storeys 
3450,295.0,kitten trapped behind cupboards,cat,purpose built flats/maisonettes - up to 3 storeys 
3451,295.0,assist rspca to retrieve kitten stuck on roof,cat,purpose built flats/maisonettes - up to 3 storeys 
3452,295.0,cat trapped on roof,cat,purpose built flats/maisonettes - up to 3 storeys 
3453,295.0,cat trapped on balcony,cat,purpose built flats/maisonettes - 4 to 9 storeys 
3454,295.0,kittens hanging off balcony,cat,purpose built flats/maisonettes - 4 to 9 storeys 
3455,590.0,redacted,cat,house - single occupancy 
3456,295.0,cat trapped on fence in park,cat,park 
3457,295.0,retrieval of injured kitten,cat,licensed house in multiple occupation - 3 or more storeys 
3458,295.0,assist rspca with cat up tree,cat,tree scrub 
3459,295.0,bird stuck in chimney,bird,converted flat/maisonette - up to 2 storeys 
3460,295.0,kitten trapped under floorboards,cat,house - single occupancy 
3461,295.0,cat and kittens stuck between walls,cat,common external bin storage area
3462,885.0,redacted,bird,river/canal 
3463,295.0,cat stuck trapped by wire,cat,bridge
3464,295.0,cat trapped behind chest of drawers,cat,converted flat/maisonettes - 3 or more storeys
3465,295.0,kitten trapped inside van engine compartment,cat,van 
3466,295.0,kitten trapped,cat,fence
3467,295.0,kitten stuck on netting outside window of flat,cat,purpose built flats/maisonettes - 4 to 9 storeys 
3468,295.0,dog trapped in courtyard,dog,purpose built flats/maisonettes - 4 to 9 storeys 
3469,295.0,cat trapped between walls,cat,private garage 
3470,590.0,kitten trapped inside car engine,cat,car 
3471,295.0,assist rcpca officer with cat stuck in tree,cat,tree scrub 
3472,295.0,cat trapped behind fence,cat,domestic garden (vegetation not equipment) 
3473,295.0,cat trapped under floor board,cat,house - single occupancy 
3474,295.0,cat trapped under wheel arch of car,cat,car 
3475,295.0,running call to cat trapped behind wall,cat,pipe or drain 
3476,295.0,dog trapped in railings,dog,fence
3477,295.0,cat trapped on roof,cat,converted flat/maisonettes - 3 or more storeys
3478,295.0,cat trapped in roof,cat,private garden shed 
3479,295.0,dog trapped in window,dog,house - single occupancy 
3480,295.0,squirrel trapped on satellite dish,squirrel,house - single occupancy 
3481,295.0,assist rcpca officer with cat stuck inside part of car engine,cat,purpose built flats/maisonettes - 4 to 9 storeys 
3482,295.0,bird trapped in netting,bird,purpose built flats/maisonettes - 4 to 9 storeys 
3483,295.0,cat trapped in loft,cat,house - single occupancy 
3484,295.0,to assist rspca with cat on roof,cat,house - single occupancy 
3485,295.0,dog trapped in iron gate,dog,converted flat/maisonettes - 3 or more storeys
3486,295.0,dog with paw trapped in metal cage,dog,house - single occupancy 
3487,590.0,buzzard stuck in tree,bird,tree scrub 
3488,295.0,dog in river,dog,river/canal 
3489,295.0,redacted,dog,animal harm outdoors
3490,295.0,fox trapped by leg,fox,purpose built flats/maisonettes - up to 3 storeys 
3491,295.0,assist rspca with cat wedged in window,cat,purpose built flats/maisonettes - 4 to 9 storeys 
3492,295.0,kitten stuck under floorboards,cat,house - single occupancy 
3493,295.0,cat fallen onto unoccupied balcony,cat,converted flat/maisonettes - 3 or more storeys
3494,295.0,cat trapped in drain,cat,purpose built flats/maisonettes - 4 to 9 storeys 
3495,295.0,cat trapped under grate,cat,purpose built flats/maisonettes - up to 3 storeys 
3496,295.0,cats trapped in grate,cat,purpose built flats/maisonettes - up to 3 storeys 
3497,295.0,dog trapped in fence,dog,woodland/forest - broadleaf/hardwood 
3498,295.0,assist rspca with cat stuck in tree,cat,tree scrub 
3499,590.0,horse trapped in gate,horse,animal harm outdoors
3500,590.0,cat trapped between ceiling and floorboards,cat,purpose built flats/maisonettes - 4 to 9 storeys 
3501,295.0,injured swan in roadway,bird,road surface/pavement 
3502,590.0,assist rspca to release fox stuck in storm drain,fox,road surface/pavement 
3503,295.0,fox with leg trapped in gate,fox,house - single occupancy 
3504,295.0,hampster trapped in fire place,hamster,house - single occupancy 
3505,295.0,cat trapped in car engine,cat,car 
3506,295.0,small animal stuk in loft,unknown - wild animal,purpose built flats/maisonettes - up to 3 storeys 
3507,295.0,cat trapped in neighbouring garden,cat,converted flat/maisonette - up to 2 storeys 
3508,295.0,cat trapped in roofing area,cat,private garden shed 
3509,295.0,small animal rescue,unknown - domestic animal or pet,house - single occupancy 
3510,590.0,small animal rescue,unknown - domestic animal or pet,tree scrub 
3511,295.0,assist rspca with cat on roof,cat,converted flat/maisonettes - 3 or more storeys
3512,590.0,cat trapped under floor boards in bathroom,cat,house - single occupancy 
3513,295.0,fox trapped between shed and brick wall,fox,outdoor storage 
3514,295.0,cat in distress on scaffolding,cat,purpose built flats/maisonettes - 4 to 9 storeys 
3515,1180.0,horse in ditch,horse,"grassland, pasture, grazing etc "
3516,295.0,fox trapped between two walls,fox,animal harm outdoors
3517,295.0,assist rspca with cat stuck on roof,cat,purpose built flats/maisonettes - up to 3 storeys 
3518,295.0,running call to cat stuck in tree,cat,road surface/pavement 
3519,295.0,dog fallen down manhole,dog,animal harm outdoors
3520,295.0,dog trapped under decking,dog,house - single occupancy 
3521,295.0,pigeon stuck up chimney,bird,licensed house in multiple occupation - 3 or more storeys 
3522,295.0,dog trapped in fence,dog,purpose built flats/maisonettes - up to 3 storeys 
3523,295.0,cat stuck in railings,cat,fence
3524,295.0,assist rspca with cat stuck in tree,cat,house - single occupancy 
3525,295.0,cat trapped behind cupboard,cat,converted flat/maisonettes - 3 or more storeys
3526,295.0,cat trapped in between walls,cat,private garage 
3527,295.0,dogs mouth trapped in cage,dog,house - single occupancy 
3528,295.0,dog fallen from balcony,dog,converted flat/maisonettes - 3 or more storeys
3529,295.0,cat trapped in thorn bushes,cat,domestic garden (vegetation not equipment) 
3530,295.0,dog in river,dog,river/canal 
3531,295.0,assist rspca with cat in precarious position,cat,purpose built flats/maisonettes - 4 to 9 storeys 
3532,295.0,cat stuck up tree,cat,domestic garden (vegetation not equipment) 
3533,295.0,cat in precarious position,cat,house - single occupancy 
3534,295.0,bird with wing trapped in wire,bird,house - single occupancy 
3535,295.0,injured cat trapped behind fence,cat,converted flat/maisonette - up to 2 storeys 
3536,295.0,dog trapped  in room,dog,house - single occupancy 
3537,295.0,cat trapped under wardrobe,cat,purpose built flats/maisonettes - up to 3 storeys 
3538,295.0,small animal rescue - cat trapped in basement,cat,purpose built flats/maisonettes - up to 3 storeys 
3539,295.0,cat stuck in gate,cat,purpose built flats/maisonettes - 4 to 9 storeys 
3540,295.0,kitten trapped behind wall in kitchen,cat,converted flat/maisonettes - 3 or more storeys
3541,295.0,bird trapped in tree,bird,tree scrub 
3542,295.0,assist rspca to rescue bird,bird,house - single occupancy 
3543,295.0,assist rspca with cat stuck in tree,cat,animal harm outdoors
3544,295.0,cat trapped,cat,purpose built flats/maisonettes - 4 to 9 storeys 
3545,295.0,cat stuck in pipe,cat,house - single occupancy 
3546,295.0,cat under floor boards,cat,house - single occupancy 
3547,295.0,pidgeon trapped in netting,bird,petrol station 
3548,295.0,animal stuck behind chimney,unknown - wild animal,house - single occupancy 
3549,295.0,dog with head trapped in door,dog,house - single occupancy 
3550,295.0,assist rspca with kitten,cat,woodland/forest - broadleaf/hardwood 
3551,295.0,assist  rspca with pigeon trapped  behind sign,bird,other retail  
3552,295.0,dog trapped behind sunbed,dog,private garden shed 
3553,295.0,bird trapped in chimney,bird,converted flat/maisonette - up to 2 storeys 
3554,295.0,kitten trapped under floor boards,cat,house - single occupancy 
3555,295.0,cat fallen into basement area,cat,purpose built flats/maisonettes - up to 3 storeys 
3556,295.0,dog trapped in mattress springs,dog,house - single occupancy 
3557,295.0,fox with head trapped in bucket on roof of shed,fox,scrub land 
3558,295.0,cat trapped between walls,cat,railings
3559,1475.0,to assist rspca with kitten trapped between fire escape and wall,cat,single shop 
3560,295.0,cat stuck behind cooker,cat,house - single occupancy 
3561,295.0,dog with jaw trapped in fence,dog,playground/recreation area (not equipment)
3562,295.0,dog trapped in rabbit hole,dog,woodland/forest - broadleaf/hardwood 
3563,295.0,dog trapped in metal gate,dog,fence
3564,295.0,cat trapped behind kitchen unit,cat,purpose built flats/maisonettes - 4 to 9 storeys 
3565,885.0,dog trapped under metal container,dog,animal harm outdoors
3566,295.0,cat trapped in awning,cat,"takeaway, fast food "
3567,295.0,assist rspca with cat trapped in basement,cat,purpose built flats/maisonettes - up to 3 storeys 
3568,295.0,animal trapped behind wall,bird,house - single occupancy 
3569,590.0,cat trapped  in partition  wall,cat,house - single occupancy 
3570,295.0,terrier in burrow,dog,heathland 
3571,295.0,person stuck up tree,unknown - domestic animal or pet,tree scrub 
3572,295.0,assist rspca with kitten in tree,cat,house - single occupancy 
3573,590.0,redacted,dog,hedge
3574,295.0,bird trapped in chimney,bird,house - single occupancy 
3575,295.0,assist rspca with cat up tree,cat,tree scrub 
3576,295.0,cat trapped in chimney,cat,house - single occupancy 
3577,295.0,cat trapped in washing machine,cat,purpose built flats/maisonettes - up to 3 storeys 
3578,295.0,cat locked in shed,cat,purpose built flats/maisonettes - 10 or more storeys 
3579,295.0,dog trapped under car,dog,car 
3580,295.0,dog with paw stuck down plughole,dog,house - single occupancy 
3581,295.0,cat trapped behind advertising board,cat,purpose built flats/maisonettes - up to 3 storeys 
3582,295.0,cat trapped behind and under sink,cat,house - single occupancy 
3583,295.0,assist rspca to gain entry,unknown - domestic animal or pet,other car park structure
3584,295.0,harris hawk impailed on anti pigeon spike,bird,art gallery 
3585,295.0,cat on railway line,cat,railway trackside vegetation 
3586,295.0,kitten in precarious position,cat,house - single occupancy 
3587,295.0,cat with head trapped behind pipe,cat,house - single occupancy 
3588,295.0,dog trapped between two fences,dog,railway trackside vegetation 
3589,295.0,cat trapped  in the basement,cat,single shop 
3590,295.0,dog trapped under decking,dog,animal harm outdoors
3591,590.0,horse stuck in a ditch,horse,"grassland, pasture, grazing etc "
3592,295.0,squirrel trapped in hole,squirrel,domestic garden (vegetation not equipment) 
3593,295.0,dog with head trapped in fence,dog,railings
3594,295.0,fox trapped,fox,day care/drop in centre
3595,295.0,cat trapped in chimney,cat,house - single occupancy 
3596,295.0,fox trapped by its hips in wrought iron gate,fox,railings
3597,885.0,horse with leg trapped in harrow,horse,agricultural equipment 
3598,590.0,cat trapped under floorboards,cat,purpose built flats/maisonettes - 4 to 9 storeys 
3599,590.0,cat trapped under floorboards,cat,purpose built flats/maisonettes - 4 to 9 storeys 
3600,295.0,small animal rescue,unknown - domestic animal or pet,fence
3601,295.0,cat trapped between two walls,cat,house - single occupancy 
3602,295.0,cat stuck behind wall,cat,purpose built flats/maisonettes - 4 to 9 storeys 
3603,1180.0,dog trapped in fox hole at the side of pub hse,dog,hedge
3604,295.0,animal in precarious position,unknown - domestic animal or pet,tree scrub 
3605,2065.0,horse stuck in mud,horse,"grassland, pasture, grazing etc "
3606,295.0,crow trapped in netting,bird,animal harm outdoors
3607,295.0,assist rspca inspector with cat up tree,cat,tree scrub 
3608,295.0,bird trapped in fire place,bird,purpose built flats/maisonettes - up to 3 storeys 
3609,295.0,small animal rescue,bird,other outdoor location 
3610,295.0,dog trapped in fence,dog,fence
3611,295.0,cat trapped in garage,cat,house - single occupancy 
3612,295.0,dog in precarious positon,dog,house - single occupancy 
3613,295.0,bird of prey snagged in tv cable,bird,house - single occupancy 
3614,590.0,assist rspca with cat stuck up tree,cat,woodland/forest - broadleaf/hardwood 
3615,295.0,cat trapped in tree,cat,tree scrub 
3616,295.0,request to assist rspca with cat trapped in tree,cat,animal harm outdoors
3617,295.0,small animal rescue,unknown - domestic animal or pet,house - single occupancy 
3618,295.0,small animal rescue,unknown - domestic animal or pet,tree scrub 
3619,295.0,assist rspca to rescue cat in tree,cat,domestic garden (vegetation not equipment) 
3620,295.0,squirell trapped in bin,squirrel,small refuse/rubbish container
3621,295.0,cat trapped in roof,cat,house - single occupancy 
3622,295.0,small animal rescue,unknown - domestic animal or pet,purpose built flats/maisonettes - 4 to 9 storeys 
3623,295.0,redacted,cat,van 
3624,295.0,fox in precarious position,fox,single shop 
3625,295.0,assist rspca with cat stuck on roof,cat,house - single occupancy 
3626,295.0,dog stuck in tree,dog,playground/recreation area (not equipment)
3627,295.0,assist rspca with trapped fox,fox,purpose built office 
3628,295.0,cat stuck in culvert,cat,other outdoor location 
3629,590.0,kitten stuck in chimney,cat,house - single occupancy 
3630,295.0,assist mop with injured dog,dog,fire station 
3631,295.0,cat stuck on window ledge unable to get down,cat,house - single occupancy 
3632,295.0,cat in the river,cat,river/canal 
3633,295.0,cat up tree,cat,domestic garden (vegetation not equipment) 
3634,295.0,cat trapped in wall recess,cat,cycle path/public footpath/bridleway 
3635,295.0,birds trapped in netting,bird,purpose built flats/maisonettes - 4 to 9 storeys 
3636,295.0,bird trapped in fireplace,bird,converted flat/maisonettes - 3 or more storeys
3637,295.0,cat stuck between walls,cat,house - single occupancy 
3638,295.0,puppy with head trapped in railings,dog,house - single occupancy 
3639,295.0,assist rspca with cat up a tree,cat,domestic garden (vegetation not equipment) 
3641,295.0,assist rspca with injured heron,bird,house - single occupancy 
3642,295.0,cat stuck on roof,cat,house - single occupancy 
3643,295.0,cat with head stuck in chair,cat,purpose built flats/maisonettes - up to 3 storeys 
3644,295.0,dog trapped in branches in rear garden,dog,converted flat/maisonette - up to 2 storeys 
3645,295.0,assist rspca with kitten in tree,cat,domestic garden (vegetation not equipment) 
3646,590.0,horse trapped in horsebox,horse,agricultural vehicle
3647,295.0,assist rspca with cat up a tree,cat,tree scrub 
3648,295.0,assist rspca for trapped birds,bird,bridge
3649,590.0,dog trapped down hole,dog,domestic garden (vegetation not equipment) 
3650,295.0,dog trapped under stone shed,dog,private garden shed 
3651,295.0,trapped bird,bird,hotel/motel 
3652,295.0,bird trapped in chminey,bird,house - single occupancy 
3653,295.0,redacted,cat,house - single occupancy 
3654,295.0,cat stuck between walls,cat,house - single occupancy 
3655,295.0,cat trapped behind garage,cat,purpose built flats/maisonettes - 4 to 9 storeys 
3656,295.0,cat trapped under dash board of car,cat,car 
3657,295.0,ducklings fallen into drain,bird,river/canal 
3658,295.0,ducklings in distress,bird,lake/pond/reservoir 
3659,295.0,cat possibly trapped behind sink,cat,purpose built flats/maisonettes - 4 to 9 storeys 
3660,295.0,small animal rescue,unknown - wild animal,house - single occupancy 
3661,295.0,assist rspca bird stuck in chimney,bird,house - single occupancy 
3662,295.0,dog locked in bedroom,dog,converted flat/maisonettes - 3 or more storeys
3663,295.0,cat stuck on window sill at third floor level,cat,house - single occupancy 
3664,295.0,animal trapped in fire breast,unknown - wild animal,converted flat/maisonette - up to 2 storeys 
3665,295.0,cat trapped in fireplace,cat,house - single occupancy 
3666,295.0,assist rspca with pigeon trapped in netting,bird,bridge
3667,298.0,redacted,dog,converted flat/maisonettes - 3 or more storeys
3668,298.0,bird trapped in chimney,bird,house - single occupancy 
3669,298.0,bird trapped in tree,bird,roadside vegetation 
3670,298.0,assist rspca with cat trapped up chimney,cat,house - single occupancy 
3671,298.0,cat trapped on middle balcony,cat,purpose built flats/maisonettes - up to 3 storeys 
3672,298.0,cat up chimney,cat,house - single occupancy 
3673,298.0,cat stuck on roof - suspected broken leg,cat,common external bin storage area
3674,298.0,cat stuck in vent  one tl,cat,house - single occupancy 
3675,596.0,cat trapped in bramble bush,cat,scrub land 
3676,298.0,cat trapped behind bathtub,cat,purpose built flats/maisonettes - up to 3 storeys 
3677,298.0,cat trapped between walls,cat,house - single occupancy 
3678,298.0,dog trapped under shed,dog,house - single occupancy 
3679,298.0,dog trapped in railings,dog,fence
3680,298.0,cat trapped on scaffolding,cat,purpose built flats/maisonettes - 4 to 9 storeys 
3681,298.0,cat trapped behind the inside wall,cat,house - single occupancy 
3682,298.0,pigeon trapped in netting under railway bridge,bird,bridge
3683,894.0,redacted,horse,animal harm outdoors
3684,298.0,cat stuck down hole,cat,park 
3685,298.0,cat fallen and trapped between wall and hedge,cat,converted flat/maisonette - up to 2 storeys 
3686,298.0,bird with leg trapped in tree,bird,tree scrub 
3687,298.0,small animal rescue,bird,animal harm outdoors
3688,298.0,abandoned call to fire,bird,purpose built flats/maisonettes - 4 to 9 storeys 
3689,298.0,injured cat in tree,cat,tree scrub 
3690,298.0,bird trapped in netting,bird,bridge
3691,298.0,small animal rescue,unknown - domestic animal or pet,house - single occupancy 
3692,298.0,assist rspca,bird,domestic garden (vegetation not equipment) 
3693,298.0,cat trapped in alleway,cat,house - single occupancy 
3694,298.0,dog trapped under bath,dog,converted flat/maisonette - up to 2 storeys 
3695,298.0,bird trapped in netting,bird,house - single occupancy 
3696,298.0,bird trapped in tree,bird,tree scrub 
3697,298.0,assist rspca with kitten stuck in tree,cat,domestic garden (vegetation not equipment) 
3698,596.0,small animal rescue,unknown - domestic animal or pet,house - single occupancy 
3699,298.0,dog trapped on railway,dog,railway trackside vegetation 
3700,298.0,bird trapped in chimney,bird,house - single occupancy 
3701,596.0,cat trapped in between buildings,cat,pre school/nursery 
3702,298.0,small animal rescue,bird,converted flat/maisonettes - 3 or more storeys
3703,298.0,cat trapped between buildings,cat,private garage 
3704,298.0,cat trapped behind wall,cat,pre school/nursery 
3705,298.0,cat stuck in chimney,cat,purpose built flats/maisonettes - up to 3 storeys 
3706,298.0,cat trapped in roof space,cat,purpose built flats/maisonettes - up to 3 storeys 
3707,298.0,cat trapped in gate,cat,fence
3708,894.0,horse stuck up side down in ditch,horse,hedge
3709,298.0,cat on roof,cat,house - single occupancy 
3710,596.0,sheep trapped into river lea,sheep,river/canal 
3711,298.0,cat stuck in mesh and netting up tree,cat,domestic garden (vegetation not equipment) 
3712,298.0,pigeon trapped in netting,bird,train station - elsewhere 
3713,298.0,assist rspca,unknown - wild animal,tv/film/music/art studio 
3714,298.0,assist rspca with trapped bird,bird,single shop 
3715,596.0,protected bird stuck in netting,bird,sports pavilion/shower block/changing facility 
3716,298.0,incomplete call to bin alight,unknown - domestic animal or pet,tree scrub 
3717,298.0,cat trapped behind oven,cat,house - single occupancy 
3718,298.0,cat trapped on roof under tile,cat,house - single occupancy 
3719,298.0,cat trapped inside pool table,cat,pub/wine bar/bar 
3720,298.0,fox trapped in gate,fox,fence
3721,298.0,kitten with paw stuck in window frame,cat,converted flat/maisonettes - 3 or more storeys
3722,298.0,pidgeon trapped in chimney breast,bird,house - single occupancy 
3723,298.0,deer trapped in metal fence,deer,animal harm outdoors
3724,298.0,dog trapped under the radiator,dog,house - single occupancy 
3725,298.0,redacted,cat,purpose built flats/maisonettes - 4 to 9 storeys 
3726,298.0,bird caught in wire,bird,purpose built flats/maisonettes - up to 3 storeys 
3727,596.0,redacted,bird,purpose built office 
3728,298.0,bird trapped in chimney,bird,purpose built flats/maisonettes - 4 to 9 storeys 
3729,298.0,cat trapped under electric sofa,cat,house - single occupancy 
3730,298.0,cat trapped in hole,cat,purpose built flats/maisonettes - up to 3 storeys 
3731,298.0,small animal rescue,bird,bridge
3732,298.0,man and dog stuck in brook,dog,animal harm outdoors
3733,298.0,dog in precarious position,dog,house - single occupancy 
3734,298.0,dog collar stuck around leg and neck,dog,house - single occupancy 
3735,298.0,pidgeon trapped in netting,bird,bridge
3736,298.0,cat trapped behind pipes,cat,house - single occupancy 
3737,298.0,cat trapped in car engine,cat,car 
3738,298.0,kittens stuck down hole,cat,house - single occupancy 
3739,298.0,cat trapped behind boiler,cat,purpose built flats/maisonettes - up to 3 storeys 
3740,298.0,small animal rescue,unknown - domestic animal or pet,woodland/forest - conifers/softwood 
3741,298.0,baby fox in distress,fox,house - single occupancy 
3742,298.0,redacted,unknown - wild animal,lake/pond/reservoir 
3743,298.0,kitten stuck in loft,cat,purpose built flats/maisonettes - up to 3 storeys 
3744,298.0,fox cub trapped in netting,fox,house - single occupancy 
3745,298.0,bird tangled up in netting,bird,library 
3746,298.0,cat stuck up tree with lead caught round branches,cat,park 
3747,298.0,assist rspca with pigeon trapped in netting,bird,purpose built flats/maisonettes - up to 3 storeys 
3748,298.0,bird trapped in netting,bird,bridge
3749,298.0,cat trapped on roof,cat,house - single occupancy 
3750,298.0,pigeon trapped in netting,bird,other outdoor location 
3751,298.0,cat trapped in roof,cat,bungalow - single occupancy 
3752,298.0,cat stuck in foot canal,cat,canal/riverbank vegetation 
3753,298.0,animal trapped on roof,unknown - domestic animal or pet,purpose built flats/maisonettes - 4 to 9 storeys 
3754,298.0,cat trapped inside inside chair,cat,house - single occupancy 
3755,298.0,small animal rescue,unknown - wild animal,house - single occupancy 
3756,298.0,to assist rspca with fox cub stuck in chimney,fox,house - single occupancy 
3757,2980.0,horse fallen into swimming  pool,horse,other outdoor structures 
3758,298.0,bird trapped in chimney,bird,house - single occupancy 
3759,298.0,dog stuck in gate,dog,animal harm outdoors
3760,298.0,small animal rescue,dog,canal/riverbank vegetation 
3761,298.0,small animal rescue,unknown - wild animal,converted flat/maisonette - up to 2 storeys 
3762,298.0,"pigeon stuck in netting, assist rspca",bird,mosque 
3763,298.0,pigeon trapped in netting,bird,dental surgery
3764,298.0,cat trapped in roof,cat,house - single occupancy 
3765,298.0,dog with karabiner stuck in mouth,dog,veterinary surgery
3766,298.0,running call to cat stuck on roof,cat,converted flat/maisonette - up to 2 storeys 
3767,298.0,kitten trapped tunnel behind building,cat,purpose built flats/maisonettes - up to 3 storeys 
3768,298.0,dog trapped in trampoline springs,dog,animal harm outdoors
3769,596.0,cat trapped between walls,cat,private garage 
